seccion_cod,servicio_cod,dir3_cod,denominacion,dir3_padre_cod,ministerio_dir3_cod,ministerio_denominacion,nivel_jerarquico,nivel_organico,nivel_organico_senal,tipo_entidad,estado,fecha_inicio,fecha_fin
,,EA0003018,Oficina Tecnica de Seguridad Industrial del Mde,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003019,Centro de Suministros de Defensa,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003020,Unidad de Gestion Internacional,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003021,Adquisicion Tecnica,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003022,Centro de Asesoramiento Financiero,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003023,Seccion de Financiacion Integral,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003024,Departamento Tecnico del Mde,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003025,Sea 23 Base Aerea de Albacete,E00117201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003026,Comite Sectorial Interprovincial,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003027,Sea 24 Base Aerea de Moron,E00117201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003028,Unidad Administrativa Internacional,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003029,Comision de Estudios y Proyectos,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003030,Delegacion Tecnica de Madrid,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003031,Estudios y Consultoria Mde,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003032,Sección de Gestion Economica de la Dae,E00117201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
,,EA0003033,Seccion Tecnica de Madrid,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,,V,2026-06-10,
