ejercicio,seccion_cod,servicio_cod,servicio_denominacion,dir3_cod,dir3_denominacion,match_tipo,match_detalle
2026,13,07,PRESIDENTE DEL GOBIERNO,EA0008567,Presidencia del Gobierno,manual,Servicio 13.07 'Presidente del Gobierno': Presidencia del Gobierno tiene raíz DIR3 propia fuera del Mº de la Presidencia
2026,13,08,SECRETARIADO DEL GOBIERNO Y RELACIONES CON LAS CORTES,,,sin_match,sin_candidato_en_subarbol
2026,14,01,MINISTERIO Y SUBSECRETARÍA,E00003301,Ministerio de Defensa,por_denominacion,regla_servicios_generales
2026,14,01,MINISTERIO Y SUBSECRETARÍA,E00116501,Subsecretaria de Defensa,por_denominacion,regla_servicios_generales
2026,14,02,CUARTEL GENERAL DEL EMAD,,,sin_match,sin_candidato_en_subarbol
2026,14,03,SECRETARÍA DE ESTADO DE DEFENSA,E00116001,S. de E. de Defensa,exacto,denominacion_normalizada
2026,14,12,EJÉRCITO DE TIERRA,E00117001,Ejército de Tierra,exacto,denominacion_normalizada
2026,14,17,ARMADA,E00117101,Armada,exacto,denominacion_normalizada
2026,14,22,EJÉRCITO DEL AIRE Y DEL ESPACIO,E00117201,Ejército del Aire y del Espacio,exacto,denominacion_normalizada
2026,14,50,MECANISMO DE RECUPERACIÓN Y RESILIENCIA,,,sin_match,servicio_instrumental_prtr
2026,15,01,"MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES",E05250001,Ministerio de Hacienda,por_denominacion,regla_servicios_generales
2026,15,01,"MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES",E05253001,Subsecretaria de Hacienda,por_denominacion,regla_servicios_generales
2026,15,02,SECRETARÍA GENERAL TÉCNICA,E04935203,Secretaría General Técnica,exacto,denominacion_normalizada
2026,15,04,DIRECCIÓN GENERAL DEL PATRIMONIO DEL ESTADO,E00126605,Dirección General del Patrimonio del Estado,exacto,denominacion_normalizada
2026,15,05,SECRETARÍA DE ESTADO DE HACIENDA,E05250301,Secretaria de Estado de Hacienda,exacto,denominacion_normalizada
2026,15,06,DIRECCIÓN GENERAL DE RACIONALIZACIÓN Y CENTRALIZACIÓN DE LA CONTRATACIÓN,E04962703,Dirección General de Racionalización y Centralización de la Contratación,exacto,denominacion_normalizada
2026,15,07,DIRECCIÓN GENERAL DE TRIBUTOS,E00127005,Dirección General de Tributos,exacto,denominacion_normalizada
